-2.86,0.4
-2.87,0.5
-2.63,0.32
-2.92,0.4
-3.15,0.78
-3.28,0.55
-2.39,-0.78
-2.36,0.02
-2.93,0.1
-2.58,-0.43
-3.71,0.26
-3.06,-0.4
-2.16,-0.77
-2.15,-0.79
-1.99,-0.15
-2.91,0.2
-2.77,0.85
-2.08,0.35
-3.01,0.65
-3.42,0.13
-2.73,0.15
-2.19,0.5
-2.93,0.26
-2.53,-0.27
-2.49,-0.33
-2.69,-0.72
-2.94,0.52
-2.61,-0.43
-2.69,-0.28
-2.69,-0.19
-2.58,-0.05
-2.93,0.88
-2.92,-0.35
-2.41,0.08
-3.23,0.7
-2.69,0.33
-3.08,0.32
-3.34,0.47
-1.42,1.44
-1.67,0.15
-2.32,0.08
-2.4,-0.1
-3.6,1.2
-3.78,0.91
-3.57,2.31
-2.9,-0.52
