-2.07,0.36
-2.09,0.18
-2.28,-0.23
-2.63,0.29
-2.92,0.45
-3.15,0.37
-2.39,0.04
-2.36,-0.5
-2.93,0.14
-2.58,-0.13
-3.71,-0.12
-3.06,0.07
-2.64,0.02
-2.16,-0.16
-2.15,0.04
-2.28,0.07
-1.99,-0.06
-1.8,0.15
-3.18,-0.08
-2.49,-0.37
-3.19,0.32
-2.91,0
-3.01,-0.17
-3.42,1.15
-2.19,0.07
-2.93,0.21
-2.49,-0.24
-2.69,-0.03
-2.43,0.01
-2.6,0.03
-2.83,-0.11
-2.61,0
-2.69,0.13
-2.69,0.22
-2.58,0.04
-2.93,0.09
-2.92,0.15
-3.23,0.13
-2.69,0.11
-3.08,0.04
-1.42,-0.01
-1.67,0.01
-2.32,-0.11
-2.4,0.13
-3.6,0.13
-3.78,0.15
-3.57,-0.49
-2.9,0.08
