-2.07,0.76
-2.09,0.6
-2.52,0.08
-2.83,0.09
-2.53,0.07
-2.28,-0.08
-2.86,0.54
-2.87,0.3
-2.63,0.45
-2.92,0.6
-3.15,-0.03
-3.28,-0.03
-2.39,-0.17
-2.36,-0.76
-2.93,-0.18
-2.58,0.17
-3.71,-0.08
-3.06,0.33
-2.64,0.01
-2.16,-0.28
-3.44,0.75
-2.15,-0.25
-2.28,0.08
-1.99,-0.02
-3.18,-0.33
-2.49,-0.25
-2.91,0.35
-2.77,-0.1
-2.08,0.09
-3.01,0.3
-2.73,0.14
-2.19,-0.09
-3.54,0.48
-3.19,0.01
-2.88,0.17
-2.18,0.12
-2.58,0.02
-2.49,0.02
-2.69,0.1
-2.94,-0.45
-2.69,0.32
-2.58,0.53
-2.93,0.15
-2.92,0.56
-2.41,-0.13
-3.23,0.23
-2.69,-0.65
-3.08,0.09
-3.34,0.62
-1.42,-0.04
-1.67,-0.26
-2.32,0.15
-2.4,-0.23
-3.6,0.11
-3.78,0.28
-3.57,0.51
-2.9,0.16
