-2.07,0.17
-2.09,0.33
-2.86,0.16
-2.87,0.39
-2.63,0.37
-2.92,0.17
-3.15,0.22
-3.28,0.13
-2.39,0.21
-2.36,-0.01
-2.93,0.4
-2.58,0.28
-3.71,0.52
-3.06,0.39
-2.64,0.25
-2.16,-0.19
-3.44,0.68
-2.15,0.01
-2.28,-0.12
-1.99,0.15
-1.8,0.64
-3.18,0.02
-2.49,0.13
-2.77,0.45
-2.08,0.48
-3.01,0.16
-2.19,0.4
-3.54,0.62
-3.19,0.38
-2.88,0.31
-2.18,-0.09
-2.49,0.08
-2.69,0.12
-2.94,-0.22
-2.61,0.46
-2.69,0.31
-2.69,0.5
-2.58,0.41
-2.93,0.12
-2.92,0.32
-2.41,-0.08
-3.23,0.38
-2.69,0.47
-3.08,0.31
-3.34,0.27
-1.42,0.48
-1.67,0.38
-2.32,0.43
-2.4,0.45
-3.6,0.6
-3.78,0.37
-3.57,0.65
-2.9,0.28
